file_path,pdf_folder,umap_x,umap_y
../Data/images\FS16\page_040.png,FS16,11.015548,-13.193788
../Data/images\FS16\page_041.png,FS16,11.162534,-13.445897
../Data/images\FS16\page_042.png,FS16,8.659321,-11.582868
../Data/images\FS16\page_043.png,FS16,9.856891,-12.254532
../Data/images\FS16\page_044.png,FS16,4.7471995,-13.581098
../Data/images\FS16\page_045.png,FS16,10.900695,-13.58303
../Data/images\FS16\page_046.png,FS16,11.499581,-13.464536
../Data/images\FS16\page_047.png,FS16,10.505895,-12.660563
../Data/images\FS16\page_048.png,FS16,11.171275,-13.440506
../Data/images\FS16\page_049.png,FS16,10.149868,-11.745609
../Data/images\FS16\page_050.png,FS16,11.3905115,-11.952372
../Data/images\FS16\page_051.png,FS16,5.9244547,-9.845764
../Data/images\FS16\page_052.png,FS16,9.429572,-11.673825
../Data/images\FS16\page_053.png,FS16,10.388074,-11.938512
../Data/images\FS16\page_054.png,FS16,11.351596,-12.2671
../Data/images\FS16\page_055.png,FS16,12.797208,-12.37115
../Data/images\FS16\page_056.png,FS16,13.555006,-11.69557
../Data/images\FS16\page_057.png,FS16,4.6224623,-13.6825285
../Data/images\FS17\page_001.png,FS17,2.7468424,-15.723186
../Data/images\FS17\page_002.png,FS17,1.491102,-16.178833
../Data/images\FS17\page_003.png,FS17,5.9567943,-11.65155
../Data/images\FS17\page_004.png,FS17,5.9704494,-11.201687
../Data/images\FS17\page_005.png,FS17,4.722266,-12.974875
../Data/images\FS17\page_006.png,FS17,13.071488,-13.540113
../Data/images\FS17\page_007.png,FS17,12.938239,-13.216236
../Data/images\FS17\page_008.png,FS17,14.016714,-11.857378
../Data/images\FS17\page_009.png,FS17,13.52957,-13.69485
../Data/images\FS17\page_010.png,FS17,11.603147,-11.43953
../Data/images\FS17\page_011.png,FS17,11.329504,-12.263021
../Data/images\FS17\page_012.png,FS17,3.9896405,-9.665429
../Data/images\FS17\page_013.png,FS17,4.210185,-13.437241
../Data/images\FS17\page_014.png,FS17,4.919739,-12.713574
../Data/images\FS17\page_015.png,FS17,3.8053946,-9.383734
../Data/images\FS17\page_016.png,FS17,3.5088494,-10.375106
../Data/images\FS17\page_017.png,FS17,3.492664,-10.414359
../Data/images\FS17\page_018.png,FS17,4.7832456,-9.172604
../Data/images\FS17\page_019.png,FS17,4.912193,-8.934206
../Data/images\FS17\page_020.png,FS17,11.479335,-11.516007
../Data/images\FS17\page_021.png,FS17,14.198715,-11.575536
../Data/images\FS17\page_022.png,FS17,11.609394,-12.937487
../Data/images\FS17\page_023.png,FS17,13.340298,-12.139684
../Data/images\FS17\page_024.png,FS17,11.737442,-13.299471
../Data/images\FS17\page_025.png,FS17,10.521507,-11.793483
../Data/images\FS17\page_026.png,FS17,12.57785,-12.030223
../Data/images\FS17\page_027.png,FS17,12.469388,-12.236044
../Data/images\FS17\page_028.png,FS17,11.924819,-13.42475
../Data/images\FS17\page_029.png,FS17,12.39051,-13.047935
../Data/images\FS17\page_030.png,FS17,13.735243,-11.653503
../Data/images\FS17\page_031.png,FS17,11.076729,-12.187515
../Data/images\FS17\page_032.png,FS17,11.31513,-11.434883
../Data/images\FS17\page_033.png,FS17,14.136785,-11.454966
../Data/images\FS18\page_001.png,FS18,2.7683473,-15.732626
../Data/images\FS18\page_002.png,FS18,1.5029354,-16.168396
../Data/images\FS18\page_003.png,FS18,5.9589753,-11.604912
../Data/images\FS18\page_004.png,FS18,5.957925,-11.233898
../Data/images\FS18\page_005.png,FS18,6.1227493,-11.10885
../Data/images\FS18\page_006.png,FS18,4.6809025,-13.10573
../Data/images\FS18\page_007.png,FS18,13.34338,-13.281169
../Data/images\FS18\page_008.png,FS18,12.188359,-12.432305
../Data/images\FS18\page_009.png,FS18,14.315387,-11.691993
../Data/images\FS18\page_010.png,FS18,12.717208,-13.191553
../Data/images\FS18\page_011.png,FS18,8.691657,-11.533849
../Data/images\FS18\page_012.png,FS18,3.8969057,-9.370147
../Data/images\FS18\page_013.png,FS18,2.9560523,-10.157744
../Data/images\FS18\page_014.png,FS18,4.748527,-10.866746
../Data/images\FS18\page_015.png,FS18,3.671122,-10.198677
../Data/images\FS18\page_016.png,FS18,4.1567636,-10.338511
../Data/images\FS18\page_017.png,FS18,3.533352,-10.253822
../Data/images\FS18\page_018.png,FS18,4.974498,-8.754726
../Data/images\FS18\page_019.png,FS18,3.9601402,-9.646862
../Data/images\FS18\page_020.png,FS18,4.2893686,-9.316567
../Data/images\FS18\page_021.png,FS18,3.426367,-9.74973
../Data/images\FS18\page_022.png,FS18,14.061838,-11.493884
../Data/images\FS18\page_023.png,FS18,14.189622,-11.493389
../Data/images\FS18\page_024.png,FS18,11.469973,-13.473591
../Data/images\FS18\page_025.png,FS18,10.533672,-11.73816
../Data/images\FS18\page_026.png,FS18,12.059791,-12.965248
../Data/images\FS18\page_027.png,FS18,11.740126,-12.25663
../Data/images\FS18\page_028.png,FS18,3.6386492,-10.00902
../Data/images\FS18\page_029.png,FS18,7.4360566,-10.891356
../Data/images\FS18\page_030.png,FS18,11.161751,-13.296419
../Data/images\FS18\page_031.png,FS18,10.754807,-13.073493
../Data/images\FS18\page_032.png,FS18,11.800612,-13.273585
../Data/images\FS18\page_033.png,FS18,9.388745,-12.664339
../Data/images\FS18\page_034.png,FS18,5.316092,-10.458415
../Data/images\FS18\page_035.png,FS18,12.914411,-11.990791
../Data/images\FS18\page_036.png,FS18,5.250841,-10.722532
../Data/images\FS19\page_001.png,FS19,2.7547972,-15.749698
../Data/images\FS19\page_002.png,FS19,1.7208071,-16.02119
../Data/images\FS19\page_003.png,FS19,4.6437078,-11.87612
../Data/images\FS19\page_004.png,FS19,4.7789164,-12.681777
../Data/images\FS19\page_005.png,FS19,13.770456,-13.405755
../Data/images\FS19\page_006.png,FS19,13.340828,-12.997073
../Data/images\FS19\page_007.png,FS19,14.31937,-12.159115
../Data/images\FS19\page_008.png,FS19,13.546984,-13.581484
../Data/images\FS19\page_009.png,FS19,4.950914,-11.456178
../Data/images\FS19\page_010.png,FS19,5.223344,-13.096124
../Data/images\FS19\page_011.png,FS19,6.340568,-12.4444065
../Data/images\FS19\page_012.png,FS19,4.971123,-11.724895
../Data/images\FS19\page_013.png,FS19,6.141568,-12.433267
../Data/images\FS19\page_014.png,FS19,6.148605,-12.496423
../Data/images\FS19\page_015.png,FS19,4.922821,-11.879255
../Data/images\FS19\page_016.png,FS19,5.904696,-12.738435
../Data/images\FS19\page_017.png,FS19,6.3321977,-11.975802
../Data/images\FS19\page_018.png,FS19,6.266071,-12.158011
../Data/images\FS19\page_019.png,FS19,6.3306065,-12.404963
../Data/images\FS19\page_020.png,FS19,9.417297,-12.681635
../Data/images\FS19\page_021.png,FS19,6.551651,-12.491187
../Data/images\FS19\page_022.png,FS19,14.444076,-12.005595
../Data/images\FS19\page_023.png,FS19,14.452608,-11.876321
../Data/images\FS19\page_024.png,FS19,3.2303555,-14.750831
../Data/images\FS19\page_025.png,FS19,13.672257,-12.686589
../Data/images\FS19\page_026.png,FS19,13.882284,-12.331297
../Data/images\FS19\page_027.png,FS19,14.102092,-12.22695
../Data/images\FS19\page_028.png,FS19,12.856804,-12.853
../Data/images\FS19\page_029.png,FS19,14.270273,-11.834238
../Data/images\FS19\page_030.png,FS19,13.951054,-12.236646
../Data/images\FS19\page_031.png,FS19,11.531679,-11.4414215
../Data/images\FS19\page_032.png,FS19,3.0081038,-14.816521
../Data/images\FS19\page_033.png,FS19,14.287574,-11.916626
../Data/images\FS19\page_034.png,FS19,12.927045,-12.3374605
../Data/images\FS19\page_035.png,FS19,6.589747,-12.512435
../Data/images\FS19\page_036.png,FS19,6.267657,-12.519935
../Data/images\FS19\page_037.png,FS19,10.956162,-13.590863
../Data/images\FS19\page_038.png,FS19,6.35169,-12.432388
../Data/images\FS19\page_039.png,FS19,13.302867,-11.591155
../Data/images\FS19\page_040.png,FS19,12.886646,-12.593278
../Data/images\FS19\page_041.png,FS19,12.840781,-12.68246
../Data/images\FS19\page_042.png,FS19,3.2648456,-14.562999
../Data/images\FS19\page_043.png,FS19,14.477761,-11.810663
